Description		Amount
KOPUKLU                 275.00
KUCUK_EV                149.00
KUCUK_EV 		65.00
YouTubePremium          40.00
İSTANBUL_SABANCI_UNI    40.00                                      
TRENDİYOL.COM		645.00
SSPORT_PLUS             69.00
ChatGPT                 649.99
ESPRESSOLAB             100.00
YEMEKSEPETI             319.90
supplementeler          2,791.25
SELF_GIDA 		240.00
DEFACTO                 1,614.96
SELF_GIDA               250.00
PIZZA_RESTAURANTLARI    70.00
ESPRESSOLAB             100.00
İSTANBUL_SABANCI_UNI    6.50
YEMEKSEPETI             164.25
ESPRESSOLAB             205.00
İSTANBUL_SABANCI_UNI    147.00
İSTANBUL_SABANCI_UNI    52.76
İSTANBUL_SABANCI_UNI    36.95
TRENDYOLYEMEK           570.00
İSTANBUL_SABANCI_UNI    6.50
ESPRESSOLAB             100.00
HMR_RESTORAN            210.00
YEMEKSEPETI             259.90
İSTANBUL_SABANCI_UNI    374.25
ATLI_PETROL             70.00
ATLI_PETROL             81.00
PIZZA_RESTAURANTLARI    70.00
PIZZA_RESTAURANTLARI    70.00
İSTANBUL_SABANCI_UNI    369.40
YEMEKSEPETI             289.90
STARBUCKS               75.00
STARBUCKS               120.00
PANZAROTTI              785.00
DECATHLON               580.00
ÖMEROĞULLARI_BÜFE       15.00
DÜRÜMLE                 205.00
İstanbulKart            153.00
ESPRESSOLAB             345.00
SELF_GIDA               360.00
SELF_GIDA               215.00
DECATHLON		545.00
İSTANBUL_SABANCI_UNI    24.00
KUCUK_EV 		294.00
ATLI_PETROL             30.00
PIZZA_RESTAURANTLARI    70.00
SELF_GIDA             	50.00
PIZZA_RESTAURANTLARI    70.00
SELF_GIDA               240.00
YEMEKSEPETI                                                        315.00
İSTANBUL_SABANCI_UNI                                          19.13
YEMEKSEPETI                                                        405.99
PAYTR/MATIK                                         19.00
KUCUK_EV                       288.00
ESPRESSOLAB                                      100.00
ANADOLU_REST_ŞEKERPINAR                                            90.00
İSTANBUL_SABANCI_UNI                                          241.20
KCL_ÇAYIROVA                                633.00
İSTANBUL_SABANCI_UNI                                          214.10
YEMEKSEPETI                                                        259.90
İSTANBUL_SABANCI_UNI                                         317.75
SELF_GIDA	
PIZZA_RESTAURANTLARI                                 70.00
PIZZA_RESTAURANTLARI                                70.00
EKMOT_GIDA                          360.00
PIZZA_RESTAURANTLARI                                 60.00
YEMEKSEPETI                                                        455.99
HMR_RESTORAN                           210.00
Spotify                                               32.99
İSTANBUL_SABANCI_UNI                                          403.25
SELF_GIDA                       240.00
KUCUK_EV                       229.00
SU_SARKUTERI_MARKET                       600.00
AmazonPrimeTR                                              39.00
SELF_GIDA                        345.00
HMR_RESTORAN                         570.00
İSTANBUL_SABANCI_UNI                                         67.00
PAYTR/MATIK                                         15.00
İSTANBUL_SABANCI_UNI                                         87.95
İSTANBUL_SABANCI_UNI                                         66.95
YEMEKSEPETI                                        289.90
YEMEKSEPETI                                                       270.00
SELF_GIDA                        240.00
BERCESTE                                  45.00
ESPRESSOLAB                                        300.00
blutv.com                                                  199.90
İSTANBUL_SABANCI_UNI                                         40.00
İSTANBUL_SABANCI_UNI                                         279.40
KUCUK_EV                       294.00
İSTANBUL_SABANCI_UNI                                         37.50
SABANCI_UNIVERSITESI                       140.00
SELF_GIDA                        480.00
ESPRESSOLAB                                      125.00
KUCUK_EV                       219.00
STARBUCKS                                        225.00
SELF_GIDA                       230.00
YEMEKSEPETI                                        349.90
İSTANBUL_SABANCI_UNI                                         68.00
KUCUK_EV                      214.00
unicourse.com                            1,499.00
KUCUK_EV                       219.00
İSTANBUL_SABANCI_UNI                                        39.00
İSTANBUL_SABANCI_UNI                                         13.00
SELF_GIDA                       175.00
YEMEKSEPETI                                         210.99
İSTANBUL_SABANCI_UNI                                         122.60
YEMEKSEPETI                                         265.00
SELF_GIDA                       175.00
EXPRESSOLAB                                     150.00
YEMEKSEPETİ                                         366.00
NETFLIX.COM                                         229.99
SELF_GIDA                        250.00
TRENDYOL_YEMEK                                                   305.00
PIZZA_RESTAURANTLARI                                70.00
PIZZA_RESTAURANTLARI                                140.00
PIZZA_RESTAURANTLARI                                  70.00
KUCUK_EV                       75.00
İSTANBUL_SABANCI_UNI                                          90.00
ATLI_PETROL                             345.00
SELF_GIDA                       170.00
İSTANBUL_SABANCI_UNI                                         312.00
SELF_GIDA                         240.00
PAYTR/MATIK                                        15.00
HMR_RESTORAN                           230.00
PAYTR/MATIK                                        19.00
