Description,Amount 
ISTANBUL_SABANCI_UNI,74.75
YEMEKSEPETI,255.9
ChatGPT,649.99
YouTubePremium,37.99
PAYTR/MATIK,31
ISTANBUL_SABANCI_UNI,90.75
KOPUKLU,550
SELF_GIDA,45
TRENDYOL.COM,270
ISTANBUL_SABANCI_UNI,19
SELF_GIDA,240
SELF_GIDA,230
TRENDYOL_YEMEK,454.2
ISTANBUL_SABANCI_UNI,95
Forest_Focus,144
AspiegelLimited,110
KUCUK_EV,229
SABANCI_UNIVERSITESI,15
ISTANBUL_SABANCI_UNI,64
ISTANBUL_SABANCI_UNI,40
ESPRESSOLAB,110
ESPRESSOLAB,320
PIZZA_RESTAURANTLARI,70
ISTANBUL_SABANCI_UNI,45.9
PIZZA_RESTAURANTLARI,70
PROMIL_MARKET,150
SELF_GIDA,279
ISTANBUL_SABANCI_UNI,186.25
SELF_GIDA,240
ESPRESSOLAB,150
SELF_GIDA,240
SELF_GIDA,180
ESPRESSOLAB,300
YEMEKSEPETI,255.9
STARBUCKS,135
SELF_GIDA,155
PAYTR/MATIK,19
HMR_RESTORAN,360
IYZICO/AMAZON.COM.TR,"2,802.35"
ISTANBUL_SABANCI_UNI,30.5
YEMEKSEPETI,252
ISTANBUL_SABANCI_UNI,80
ISTANBUL_SABANCI_UNI,100.9
SELF_GIDA,250
SELF_GIDA,240
IYZICO/AMAZON.COM.TR,124.9
ISTANBUL_SABANCI_UNI,60
SELF_GIDA,243
IYZICO,233.69
YEMEKSEPETI,308
KCL_CAYIROVA,150
MUHSIN_YAZICIOGLU,56
PIZZA_RESTAURANTLARI,70
ISTANBUL_SABANCI_UNI,45.9
SELF_GIDA,280
PROMIL_MARKET,150
PROMIL_MARKET,45
ATLI_OTOMOTIV,70
Spotify,32.99
YEMEKSEPETI,250
ISTANBUL_SABANCI_UNI,27.5
PIZZA_RESTAURANTLARI,70
SELF_GIDA,360
YEMEKSEPETI,250
KUCUK_EV,189
ISTANBUL_SABANCI_UNI,27.5
PIZZA_RESTAURANTLARI,70
PAYTR/MATIK,110
SELF_GIDA,250
ISTANBUL_SABANCI_UNI,291.75
ESPRESSOLAB,200
ESPRESSOLAB,200
PAYTR/MATIK,37
HMR_RESTORAN,759
ISTANBUL_SABANCI_UNI,39
SELF_GIDA,330
KUCUK_EV,338
ISTANBUL_SABANCI_UNI,75.25
HMR_RESTORAN,360
ESPRESSOLAB,100
HMR_RESTORAN,210
HMR_RESTORAN,60
SELF_GIDA,50
ISTANBUL_SABANCI_UNI,96.5
YEMEKSEPETI,730.99
PAYTR/MATIK,11
SELF_GIDA,300
KUCUK_EV,728
AMAZON.COMTR,375
ISTANBUL_SABANCI_UNI,199.25
Netflix.com,729.99
SELF_GIDA,330
SALOON_WAYMS,600
FET_RESTORAN,539
YEMEKSEPETI,760
MIGROS_KURTKOY,30.5
SABANCI_UNIVERSITESI,70
AMAZON.COMTR,"4,975.89"
ANADOLU_REST,80
SELF_GIDA,216
KCL_CAYIROVA,570
