Description		Amount (TL)
ISTANBUL_SABANCI_UNI	74.75
YEMEKSEPETI		255.90
ChatGPT 		649.99
YouTubePremium 		37.99
PAYTR/MATIK		31.00
ISTANBUL_SABANCI_UNI	90.75
KOPUKLU 		550.00
SELF GIDA 		45.00
TRENDYOL.COM		270.00
ISTANBUL_SABANCI_UNI	19.00
SELF GIDA 		240.00
SELF GIDA 		230.00
TRENDYOL_YEMEK		454.20
ISTANBUL_SABANCI_UNI	95.00
Forest_Focus		144.00
AspiegelLimited		110.00
KUCUK_EV 		229.00
SABANCI_UNIVERSITESI	15.00
ISTANBUL_SABANCI_UNI	64.00
ISTANBUL_SABANCI_UNI	40.00
ESPRESSOLAB 		110.00
ESPRESSOLAB 		320.00
PIZZA_RESTAURANTLARI 	70.00
ISTANBUL_SABANCI_UNI	45.90
PIZZA_RESTAURANTLARI 	70.00
PROMIL_MARKET 		150.00
SELF_GIDA 		279.00
ISTANBUL_SABANCI_UNI	186.25
SELF_GIDA 		240.00
ESPRESSOLAB 		150.00
SELF_GIDA 		240.00
SELF_GIDA  		180.00
ESPRESSOLAB 		300.00
YEMEKSEPETI		255.90
STARBUCKS 		135.00
SELF_GIDA 		155.00
PAYTR/MATIK 		19.00
HMR_RESTORAN 		360.00
IYZICO/AMAZON.COM.TR	2,802.35
İSTANBUL_SABANCI_ÜNİ	30.50
YEMEKSEPETİ		252.00
İSTANBUL_SABANCI_ÜNİ	80.00
İSTANBUL_SABANCI_ÜNİ	100.90
SELF_GIDA 		250.00
SELF_GIDA 		240.00
IYZICO/AMAZON.COM.TR	124.90
SABANCI_ÜNİVERSİTESİ	60.00
SELF GIDA		243.00
IYZICO			233.69
YEMEKSEPETI		308.00
KCL_ÇAYIROVA 		150.00
MUHSİN_YAZICIOGLU 	56.00
PİZZA_RESTAURANTLARI	70.00
İSTANBUL_SABANCI_ÜNİ	45.90
SELF_GIDA 		280.00
PROMİL_MARKET		150.00
PROMİL_MARKET 		45.00
ATLI_OTOMOTİV 		70.00
Spotify 		32.99
YEMEKSEPETİ		250.00
İSTANBUL_SABANCI ÜNİ	27.50
PİZZA_RESTAURANTLARI 	70.00
SELF_GIDA		360.00
YEMEKSEPETİ		250.00
KUCUK_EV 		189.00
İSTANBUL_SABANCI_ÜNİ	27.50
PİZZA_RESTAURANTLARI	70.00
PAYTR/MATİK 		110.00
SELF_GIDA 		250.00
İSTANBUL_SABANCI_ÜNİ	291.75
ESPRESSOLAB		200.00
ESPRESSOLAB 		200.00
PAYTR/MATIK 		37.00
HMR_RESTORAN 		759.00
ISTANBUL_SABANCI_UNI	39.00
SELF_GIDA 		330.00
KUCUK_EV 		338.00
ISTANBUL_SABANCI_UNI	75.25
HMR_RESTORAN 		360.00
ESPRESSOLAB 		100.00
HMR_RESTORAN		210.00
HMR_RESTORAN	 	60.00
SELF_GIDA 		50.00
ISTANBUL_SABANCI_UNI	96.50
YEMEKSEPETI		730.99
PAYTR/MATIK		11.00
SELF_GIDA 		300.00
KUCUK_EV 		728.00
AMAZON.COMTR		375.00
ISTANBUL_SABANCI_UNI	199.25
Netflix.com 		729.99
SELF_GIDA 		330.00
SALOON_WAYMS 		600.00
FET_RESTORAN 		539.00
YEMEKSEPETI		760.00
MIGROS_KURTKOY	 	30.50
SABANCI_UNIVERSITESI 	70.00
AMAZON.COMTR		4,975.89
ANADOLU_REST		80.00
SELF_GIDA 		216.00
KCL_CAYIROVA 		570.00

	
