Description,Amount 
HIZLI_MESRUBAT,267
ChatGPT,649.99
MARMARA_TEDAVI_HIZMET,10
OKTAY_NARSAP_TEMASSIZ,10
DECATHLON,"1,140.00"
ISTANBUL_SABANCI_UNI,40
HIZLI_MESRUBAT_PAZAR,330
YouTubePremium,37.99
KUCUK_EV,279
PIZZA_RESTAURANTLARI,40
KOPUKLU,725
ATLI_OTOMOTIV,154
PAYTR/MATIK,11
SELF_GIDA,345
SELF_GIDA,240
STARBUCKS,140
YU_BEAUTY_PALACE,"3,000.00"
DEDEOGLU_PETROL,65
KUCUK_EV,119
TRENDY_MARKET,"2,543.40"
ISTANBUL_SABANCI_UNI,183.45
SELF_GIDA,240
HMR_RESTORAN,210
ISTANBUL_SABANCI_UNI,19
ISTANBUL_SABANCI_UNI,60.77
ISTANBUL_SABANCI_UNI,7.3
ESPRESSOLAB,167
ESPRESSOLAB,100
PIZZA_RESTAURANTLARI,70
ANTEPHAN_KATMER,195
PIZZA_RESTAURANTLARI,185
MERAKLI_KOFTECI,750
MIGROS_TUZLA,99.95
PIZZA_RESTAURANTLARI,70
SELF_GIDA,240
PAYTR/MATIK,11
PAYTR/MATIK,11
PAYTR/MATIK,11
PAYTR/MATIK,11
ATLI_OTOMOTIV,68
ISTANBUL_SABANCI_UNI,135
YEMEKSEPETI,263
YEMEKSEPETI,304.9
PIZZA_RESTAURANTLARI,70
SELF_GIDA,480
SELF_GIDA,50
YELKEN_BOREK,100
SELF_GIDA,240
TRENDYOL.COM,"4,155.00"
PAYTR/MATIK,11
SELF_GIDA,150
YEMEKSEPETI,983.45
YEMEKSEPETI,304.9
SELF_GIDA,75
SELF_GIDA,300
PAYTR/MATIK,11
ISTANBUL_SABANCI_UNI,60.19
DECATHLON,240
ESPRESSOLAB,120
SELF_GIDA,50
AMAZON.COMTR,"4,399.00"
TUZDAN_BALIK,45
PAYTR/MATIK,11
PAYTR/MATIK,11
SELF_GIDA,250
SIMIT_SARAYI,18
PAYTR/MATIK,11
ISTANBUL_SABANCI_UNI,163.45
Spotify,32.99
SELF_GIDA,240
SELF_GIDA,240
PAYTR/MATIK,11
MIKON_MEDIKAL_OPTIK,839.9
PAYTR/MATIK,11
IYZICO,39
ISTANBUL_SABANCI_UNI,133.6
TRENDYOL_YEMEK,608
ISTANBUL_SABANCI_UNI,39
ISTANBUL_SABANCI_UNI,24
TRENDYOL_YEMEK,415
ISTANBUL_SABANCI_UNI,15.8
SELF_GIDA,240
SELF_GIDA,180
HMR_RESTORAN,90
ISTANBUL_SABANCI_UNI,19
ISTANBUL_SABANCI_UNI,34.5
SELF_GIDA,300
PAYTR/MATIK,11
KOPUKLU,410
SELF_GIDA,240
KUCUK_EV,159
YEMEKSEPETI,315.8
blutv.com,179.9
STARBUCKS,75
SELF_GIDA,740
SELF_GIDA,250
ISTANBUL_SABANCI_UNI,39
ISTANBUL_SABANCI_UNI,99.5
STARBUCKS,105
ISTANBUL_SABANCI_UNI,16.5
ATLI_OTOMOTIV,15
HMR_RESTORAN GIDA,180
PAYTR/MATIK,31
PAYTR/MATIK,11
ISTANBUL_SABANCI_UNI,110.5
PIZZA_RESTAURANTLARI,70
PROMIL_MARKET,"515.00,"
PROMIL_MARKET,15
YU_BEAUTY_PALACE,"1,000.00"
A101_METRO,93.9
TRENDYOL_MARKET,"2,192.87"
YEMEKSEPETI,182
SELF_GIDA,250
SELF_GIDA,180
KOPUKLU,205
YEMEKSEPETI,5.99
ISTANBUL_SABANCI_UNI,33
ESPRESSOLAB,155
KOPUKLU,160
MIGROS-5M_VIAPORT,365.3
NETFLIX.COM,229.99
DETA_RESTORAN,675
TRENDYOL_YEMEK,309.9
STARBUCKS,130
ISTANBUL_SABANCI_UNI,6.5
SELF_GIDA,240
SELF_GIDA,240
PAYTR/MATIK,11
ISTANBUL_SABANCI_UNI,367.9
ISTANBUL_SABANCI_UNI,"98.00,"
KOPUKLU,50
SELF_GIDA,240
SABANCI_UNIVERSITESI,170
ISTANBUL_SABANCI_UNI,58.41
SELF_GIDA,50
SIMIT_SARAYI,30
