Description		Amount (TL)
HIZLI MESRUBAT		267.00
ChatGPT 		649.99
MARMARA_TEDAVİ_HIZMET 	10.00
OKTAY_NARSAP_TEMASSIZ 	10.00
DECATHLON		1,140.00
ISTANBUL_SABANCI_UNI	40.00
HIZLI MESRUBAT PAZAR 	330.00
YouTubePremium 		37.99
KUCUK_EV 		279.00
PIZZA RESTAURANTLARI	40.00
KOPUKLU			725.00
ATLI_OTOMOTIV		154.00
PAYTR/MATIK		11.00
SELF_GIDA		345.00
SELF_GIDA		240.00
STARBUCKS		140.00
YU_BEAUTY_PALACE	3,000.00
DEDEOGLU_PETROL		65.00
KUCUK_EV		119.00
TRENDY_MARKET		2,543.40
ISTANBUL_SABANCI_UNI	183.45
SELF_GIDA		240.00
HMR_RESTORAN		210.00
ISTANBUL_SABANCI_UNI	19.00
ISTANBUL_SABANCI_UNI	60.77
ISTANBUL_SABANCI_UNI	7.30
ESPRESSOLAB		167.00
ESPRESSOLAB		100.00
PIZZA_RESTAURANTLARI	70.00
ANTEPHAN_KATMER		195.00
PIZZA_RESTAURANTLARI	185.00
MERAKLI_KOFTECI		750.00
MIGROS_TUZLA		99.95
PIZZA_RESTAURANTLARI	70.00
SELF_GIDA		240.00
PAYTR/MATIK		11.00
PAYTR/MATIK		11.00
PAYTR/MATIK 		11.00
PAYTR/MATIK		11.00
ATLI_OTOMOTIV 		68.00
ISTANBUL_SABANCI_UNI	135.00
YEMEKSEPETI		263.00
YEMEKSEPETI		304.90
PIZZA_RESTAURANTLARI	70.00
SELF_GIDA		480.00
SELF_GIDA 		50.00
YELKEN_BOREK		100.00
SELF_GIDA		240.00
TRENDYOL.COM		4,155.00
PAYTR/MATIK 		11.00
SELF_GIDA		150.00
YEMEKSEPETI		983.45
YEMEKSEPETI		304.90
SELF_GIDA		75.00
SELF_GIDA		300.00
PAYTR/MATIK 		11.00
ISTANBUL_SABANCI_UNI	60.19
DECATHLON		240.00
ESPRESSOLAB 		120.00
SELF_GIDA		50.00
NVZICO/AMAZON.COMTR	4,399.00
TUZDAN_BALIK 		45.00
PAYTR/MATIK 		11.00
PAYTR/MATIK 		11.00
SELF_GIDA		250.00
SIMIT_SARAYI		18.00
PAYTR/MATIK		11.00
ISTANBUL_SABANCI_UNI	163.45
Spotify 		32.99
SELF_GIDA		240.00
SELF_GIDA		240.00
PAYTR/MATIK		11.00
MIKON_MEDIKAL_OPTIK	839.90
PAYTR/MATIK		11.00
IYZICO			39.00
ISTANBUL_SABANCI_UNI	133.60
TRENDYOL_YEMEK		608.00
ISTANBUL_SABANCI_UNI	39.00
ISTANBUL_SABANCI_UNI	24.00
TRENDYOL_YEMEK		415.00
ISTANBUL_SABANCI_UNI	15.80
SELF_GIDA		240.00
SELF_GIDA		180.00
HMR_RESTORAN		90.00
ISTANBUL_SABANCI_UNI	19.00
ISTANBUL_SABANCI_UNI	34.50
SELF_GIDA		300.00
PAYTR/MATIK 		11.00
KOPUKLU			410.00
SELF_GIDA		240.00
KUCUK_EV		159.00
YEMEKSEPETI		315.80
blutv.com		179.90
STARBUCKS		75.00
SELF_GIDA		740.00
SELF_GIDA		250.00
ISTANBUL_SABANCI_UNI	39.00
ISTANBUL_SABANCI_UNI	99.50
STARBUCKS		105.00
ISTANBUL_SABANCI_UNI	16.50
ATLI_OTOMOTIV		15.00
HMR_RESTORAN GIDA	180.00
PAYTR/MATIK		31.00
PAYTR/MATIK 		11.00
ISTANBUL_SABANCI_UNI	110.50
PIZZA_RESTAURANTLARI	70.00
PROMIL_MARKET		515.00,
PROMIL_MARKET 		15.00
YU_BEAUTY_PALACE	1,000.00
A101_METRO 		93.90
TRENDYOL_MARKET		2,192.87
YEMEKSEPETI		182.00
SELF_GIDA		250.00
SELF_GIDA		180.00
KOPUKLU			205.00
YEMEKSEPETI		5.99
ISTANBUL_SABANCI_UNI	33.00
ESPRESSOLAB		155.00
KOPUKLU 		160.00
MIGROS-5M_VIAPORT 	365.30
NETFLIX.COM 		229.99
DETA_RESTORAN 		675.00
TRENDYOL_YEMEK		309.90
STARBUCKS		130.00
ISTANBUL_SABANCI_UNI	6.50
SELF_GIDA	 	240.00
SELF_GIDA 		240.00
PAYTR/MATIK 		11.00
ISTANBUL_SABANCI_UNI	367.90
ISTANBUL_SABANCI_UNI	98.00,
KOPUKLU 		50.00
SELF_GIDA 		240.00
SABANCI_UNIVERSITESI 	170.00
ISTANBUL_SABANCI_UNI	58.41
SELF_GIDA 		50.00
SIMIT_SARAYI 		30.00



